center_mb	gc_percent	unique_tss	wolf_snp_count	dog_snp_count	campbell_pedigree	wolf_ld	dog_ld
103.550224	48.8865458984375	7	0.0	0.0	2.5131242557419055e-09	1.4172360374811178e-08	4.220592912054233e-09
103.650224	46.2902607421875	5	289.0	200.0	2.5131242557419055e-09	1.3653538258558972e-08	3.4312160624661024e-09
103.750224	41.4087109375	4	968.0	479.0	1.2870141073731967e-08	3.95308786771853e-09	5.112713184238782e-09
103.850224	41.701266906187314	5	1166.0	842.0	1.704530845373031e-08	7.305519026347129e-09	5.033194644222805e-09
103.950224	39.2571611701119	3	796.0	529.0	2.5142872905159487e-09	3.1497168117677886e-09	1.5001946387016573e-09
104.050224	39.80928847064394	1	1035.0	708.0	2.514287290514838e-09	1.3520762202161584e-08	7.992438387849354e-09
104.150224	40.6343408203125	0	3064.0	2886.0	2.514287290514838e-09	4.3458771910732666e-08	4.301622478134815e-08
104.250224	40.4959453125	1	742.0	622.0	2.514287290514838e-09	1.8701019657997308e-08	3.442391298978831e-08
104.350224	41.472506688017404	2	2924.0	2467.0	2.514287290514838e-09	3.164075733357863e-08	4.624318832392782e-08
104.450224	40.97253336787884	1	1016.0	908.0	2.514287290514838e-09	2.896775503998805e-08	3.932276672411472e-08
104.550224	41.119890625	2	1988.0	1753.0	2.106764866653954e-09	2.2459266864894855e-08	2.5962868233402324e-08
104.650224	40.344545350609756	2	746.0	529.0	6.719616853534394e-10	6.390475844932908e-09	2.594733957091977e-09
104.750224	41.2304375467348	4	863.0	520.0	6.719616853534394e-10	4.3027700777242826e-09	4.869470164361456e-09
104.850224	41.75284375	4	1007.0	710.0	6.719616853534394e-10	6.523961002141698e-09	3.2465589557584274e-09
104.950224	42.16110463075427	0	1107.0	944.0	6.719616853534394e-10	5.7737773872890144e-09	3.935102378098687e-09
105.050224	43.55802044487396	4	1044.0	1031.0	6.719616853534394e-10	1.512326917630369e-08	1.8298180020733802e-08
105.150224	41.152369834639714	9	840.0	673.0	6.719616853545495e-10	4.142620709156608e-09	3.5265569492415326e-09
105.250224	40.806669921875	7	837.0	627.0	6.719616853534394e-10	7.482622610813782e-09	3.919568296603115e-09
105.350224	44.77395788503323	5	813.0	563.0	6.719616853534394e-10	1.3273820306464179e-08	1.0724862267330603e-08
105.450224	46.018813241459625	13	1058.0	746.0	4.17641245991085e-10	1.0824508924643927e-08	9.229269887742753e-09
